Name	Purpose	Quantity	Total Cost ($)	Link	Distributor
3D printed Case	Keyboard Case	1	8	https://printlegion.hackclub.com	Hack Club
PCB fabrication	Keyboard Main Board	1	39.36	https://cart.jlcpcb.com/shopcart/cart	JLCPCB
Plum Blossom Cherry Profile Top Shine-Through PBT Keycap Set V2	KeyCaps for the Keyboard to type	1	28.35	https://curiositycaps.in/products/plum-blossom-cherry-profile-shine-through-dye-sublimation-pbt-keycap-set	Curiosity Caps
Durock Clear Screw-In Stabilizers V2	Stabalizers to keep Big keys stable	1	24.83	https://stackskb.com/store/durock-clear-screw-in-stabilizers-v2/?attribute_combination=7%2B1+Set&attribute_spacebar-size=6.25U	Stackskb
Akko V3 Penguin Pro Switch (Pack of 45)	Switches for the Keys	3	47.22	https://stackskb.com/store/akko-penguin-pro-switch-pack-of-45/	Stackskb
Adafruit Feather nRF52840 Express	Microcontroller	1	32.02	https://robu.in/product/adafruit-feather-nrf52840-express/	Robu
WLY752530 3.7V 500mAh 1S LiPo Battery – Micro Rechargeable Battery Pack for Wearables / Micro Drone / IoT	Battery	1	2.74	https://robu.in/product/500mah-pcm-protected-micro-li-po-battery/	Robu
TCC0805X7R104J500DT-CCTC-SMT ceramic capacitors 0805 X7R 104J(100nF)±5.0% Rated voltage:50V thickness:0.85mmtape	Capacitors	10	0.12	https://robu.in/product/tcc0805x7r104j500dt-cctc-smt-ceramic-capacitors-0805-x7r-104j100nf%c2%b15-0-rated-voltage50v-thickness0-85mmtape/	Robu
CL21B475KPQVPNE-Samsung-Cap Ceramic 4.7uF 10V X7R 10% Pad SMD 0805 125°C T/R Automotive AEC-Q200	Capacitors	5	0.12	https://robu.in/product/cl21b475kpqvpne-samsung-cap-ceramic-4-7uf-10v-x7r-10-pad-smd-0805-125c-t-r-automotive-aec-q200/	Robu
1N4148W SOD-123 1206 Diode	Diode	216	1.59	https://robu.in/product/1n4148w-sod-123-1206-diodereel-of-3000/	Robu
3mm Green DIP LED	Led	15	0.12	https://robu.in/product/3mm-green-dip-led-pack-of-50/	Robu
3mm Red DIP LED	Led	15	0.14	https://robu.in/product/3mm-red-dip-led-pack-of-50/	Robu
TYPE-C-31-M-12-Hroparts-5A 1 16P Female Type-C SMD USB Connectors ROHS	Type C	2	0.8	https://robu.in/product/type-c-31-m-12-hroparts-5a-1-16p-female-type-c-smd-usb-connectors-rohs/	Robu
XY308-2.54-XINYA-3 Pin Screw Terminal Block(Red)	Free				Robu
"SM08B-SRSS-TB(LF)(SN)-JST-1x8P 8P SH Tin 8 -25?~+85? 1A 1 1mm Copper alloy Surface Mount SMD,P=1mm,Surface Mount?Right Angle Wire To Board Connector ROHS"	OLED Connection	2	1.09	https://robu.in/product/sm08b-srss-tblfsn-jst-1x8p-8p-sh-tin-8-25%e2%84%8385%e2%84%83-1a-1-1mm-copper-alloy-surface-mount-smdp1mmsurface-mount%ef%bc%8cright-angle-wire-to-board-connector-rohs/	Robu
"ERJ6ENF4701V-PANASONIC-SMD Chip Resistor, 4.7 kohm, ± 1%, 125 mW, 0805 [2012 Metric], Thick Film, Precision"	Resistors	11	0.11	https://robu.in/product/erj6enf4701v-panasonic-smd-chip-resistor-4-7-kohm-%c2%b1-1-125-mw-0805-2012-metric-thick-film-precision/	Robu
"CRCW08051K00FKEAHP-VISHAY-SMD Chip Resistor, 1 kohm, ± 1%, 500 mW, 0805 [2012 Metric], Thick Film, Pulse Proof, High Power"	Resistors	20	0.72	https://robu.in/product/crcw08051k00fkeahp-vishay-smd-chip-resistor-1-kohm-%c2%b1-1-500-mw-0805-2012-metric-thick-film-pulse-proof-high-power/	Robu
"RC0805JR-075K1L-Yageo-SMD Chip Resistor, 5.1 kohm, ± 5%, 125 mW, 0805 [2012 Metric], Thick Film, General Purpose"	Resistors	100	0.14	https://robu.in/product/rc0805jr-075k1l-yageo-smd-chip-resistor-5-1-kohm-%c2%b1-5-125-mw-0805-2012-metric-thick-film-general-purpose/	Robu
"MCP23017-E/SO MICROCHIP I/O Expander, 16 bit, I2C, Serial, 1.8 V, 5.5 V, SOIC, 28 Pins"	GPIO Expander	4	8.78	https://robu.in/product/mcp23017-e-so-microchip-i-o-expander-16-bit-i2c-serial-1-8-v-5-5-v-soic-28-pins/	Robu
USBLC6-2SC6-MS-MSKSEMI-4.5A 15V 150W 6V 5V SOT-23-6 ESD and Surge Protection (TVS/ESD) ROHS		5	0.37	https://robu.in/product/usblc6-2sc6-ms-msksemi-4-5a-15v-150w-6v-5v-sot-23-6-esd-and-surge-protection-tvs-esd-rohs/	Robu
"Waveshare 1.9inch LCD Display Module, SPI Interface, IPS, 262K Colors"	OLED Screen	1	11.17	https://robu.in/product/waveshare-lcd-display-module-spi-interface-262k-colors/	Robu
Total			207.79$		
